Judy  Barker, Great Expectations, Wuthering Heights
Karen  Wilkerson, Bostan, Hamlet, The Idiot, Lolita, The Stranger
Taylor  Phelps, The Possessed, The Brothers Karamazov, Middlemarch, Beloved
Toni  Wright, Middlemarch, Bostan, Hamlet, Ulysses, Pedro Páramo, Madame Bovary, To the Lighthouse, The Old Man and the Sea, The Golden Notebook
Orlando  Webster, Leaves of Grass, The Tin Drum, Madame Bovary
Enrique  Rios, The Man Without Qualities, Poems, Othello, One Thousand and One Nights, The Stranger
Dustin  Daniel, King Lear, Tristram Shandy, Pippi Longstocking
Camille  Bass, The Tin Drum, Tristram Shandy
Damon  Farmer, The Brothers Karamazov, Faust
Frankie  Nelson, Metamorphoses, Great Expectations, Hunger, Crime and Punishment
Eloise  Martin, Confessions of Zeno, Metamorphoses, Mahabharata, Stories
Dianna  Perkins, The Brothers Karamazov, The Magic Mountain, Beloved, Pedro Páramo, Midnight's Children, History, Pippi Longstocking, The Man Without Qualities, The Tale of Genji, Buddenbrooks
Bertha  Allen, The Canterbury Tales, Fairy tales, Love in the Time of Cholera, King Lear, Children of Gebelawi, Sentimental Education, The Possessed, Aeneid
Tina  Silva, The Canterbury Tales, The Old Man and the Sea, Aeneid, Poems, The Devil to Pay in the Backlands, History, Zorba the Greek, Molloy, Malone Dies, The Unnamable, a trilogy
Vernon  Palmer, The Castle, The Trial, The Divine Comedy, Iliad, Moby-Dick
Janie  Sanders, The Devil to Pay in the Backlands, The Canterbury Tales, A Doll's House, In Search of Lost Time, Mahabharata, Ulysses
Abraham  Kennedy, The Idiot, Great Expectations, Masnavi, Ramayana, The Man Without Qualities, Gypsy Ballads, Don Quixote, The Sound and the Fury, Book of Job, Invisible Man
Julie  Bryant, The Sound of the Mountain, Children of Gebelawi, A Doll's House
Frederick  Roberson, The Tin Drum, Season of Migration to the North, Children of Gebelawi
Raquel  Miles, Ficciones, Pippi Longstocking, Hamlet, The Divine Comedy, Book of Job, A Doll's House
Melissa  Lawson, Oedipus the King, Absalom, Absalom!, Hunger, A Doll's House, The Canterbury Tales, Nostromo, The Devil to Pay in the Backlands, Poems, The Castle
Marshall  Greer, Stories, A Doll's House, Leaves of Grass, Anna Karenina, Love in the Time of Cholera, Children of Gebelawi, Shakuntala, Great Expectations
Jana  Meyer, Odyssey, Tristram Shandy, The Idiot, Don Quixote, Invisible Man, Faust
Guadalupe  Hale, Ramayana, Zorba the Greek, A Madman's Diary, The Idiot
Wesley  Pittman, The Book of Disquiet, Njál's Saga, To the Lighthouse, Tales, Fairy tales
Tracy  Anderson, Nineteen Eighty-Four, A Madman's Diary, The Magic Mountain, Pride and Prejudice, Aeneid, Beloved, Mrs Dalloway, In Search of Lost Time, Ficciones, Le Père Goriot
Geoffrey  Schwartz, Faust, Buddenbrooks, Ficciones, Pedro Páramo
Jackie  Oliver, Masnavi, History, Pedro Páramo, In Search of Lost Time, The Divine Comedy, Anna Karenina, A Doll's House, Stories
Margarita  Cohen, The Possessed, Adventures of Huckleberry Finn, Zorba the Greek, A Madman's Diary, The Golden Notebook, The Man Without Qualities, King Lear, Odyssey, The Magic Mountain
Jorge  Marsh, One Hundred Years of Solitude, Nineteen Eighty-Four, Tales, Independent People, Nostromo, Mrs Dalloway, The Possessed, Tristram Shandy, Gypsy Ballads, Ulysses
Lorena  Valdez, The Devil to Pay in the Backlands, Crime and Punishment, The Stranger, Book of Job, Midnight's Children, Beloved, The Decameron, Adventures of Huckleberry Finn
Arnold  Shaw, Crime and Punishment, Lolita, Hunger, Pride and Prejudice, Absalom, Absalom!, King Lear
Della  Cook, Essays, The Castle, Moby-Dick
Samantha  Fernandez, Gypsy Ballads, The Red and the Black
Yvonne  Barton, The Tin Drum, Buddenbrooks, The Stranger, Jacques the Fatalist, Oedipus the King, The Trial
Courtney  Robbins, The Castle, Medea, Dead Souls, The Death of Ivan Ilyich, Hunger, A Doll's House
Alex  Jennings, Confessions of Zeno, Poems, Wuthering Heights, The Brothers Karamazov
Lawrence  Curry, To the Lighthouse, Le Père Goriot, Metamorphoses, The Decameron, Bostan, Ramayana, Epic of Gilgamesh, The Trial, Hunger, Crime and Punishment
Jessie  Moody, Children of Gebelawi, Mrs Dalloway, Tales
Josefina  Graham, Don Quixote, Njál's Saga, Middlemarch, Nineteen Eighty-Four, Metamorphoses
Monique  Page, Buddenbrooks, Ulysses, Book of Job, The Golden Notebook, The Brothers Karamazov
Kerry  Alvarado, Absalom, Absalom!, King Lear, Essays, Le Père Goriot
Rosalie  Hernandez, Metamorphoses, Nineteen Eighty-Four, The Brothers Karamazov, In Search of Lost Time, Pippi Longstocking
Curtis  Poole, Medea, Essays, History, The Canterbury Tales, Othello, Shakuntala, Jacques the Fatalist, Mrs Dalloway, Gypsy Ballads, The Divine Comedy
Greg  Craig, Iliad, Book of Job
Myrtle  Mcdonald, War and Peace, Nostromo, Madame Bovary, The Possessed, Essays, In Search of Lost Time
Olivia  Patterson, The Canterbury Tales, The Decameron, The Death of Ivan Ilyich, Medea, One Thousand and One Nights, Aeneid, Children of Gebelawi, Berlin Alexanderplatz
Allison  Bailey, Epic of Gilgamesh, Pride and Prejudice, Berlin Alexanderplatz, Shakuntala, Odyssey, Invisible Man, One Thousand and One Nights
Leah  Cannon, Children of Gebelawi, Mrs Dalloway, The Golden Notebook, Leaves of Grass, Ficciones, The Devil to Pay in the Backlands, In Search of Lost Time, Nineteen Eighty-Four
Luz  Pena, Things Fall Apart, Sentimental Education, Stories, Pride and Prejudice, The Golden Notebook, Absalom, Absalom!, The Canterbury Tales, One Thousand and One Nights
Arlene  Schultz, The Idiot, The Tale of Genji, Book of Job
